customer_id,customer_name,customer_segment,product_id,product_name,product_category,product_subcategory,product_manufacturer,order_details_id,order_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales,order_date,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_mode
388,John Lee,Consumer,1216,OIC Binder Clips,Office Supplies,Fasteners,Other,11,CA-2015-100136,94,0.1,64,0.21,305,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class
388,John Lee,Consumer,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,12,CA-2015-100136,143,0.1,734,0.38,1931,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class
388,John Lee,Consumer,1507,Staples,Office Supplies,Fasteners,Other,13,CA-2015-100136,324,0.2,114,0.22,518,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class
388,John Lee,Consumer,1600,Unpadded Memo Slips,Office Supplies,Paper,Other,14,CA-2015-100136,216,0.1,264,0.34,778,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class
564,Neil Französisch,Home Office,1677,Xerox 1887,Office Supplies,Paper,Xerox,15,CA-2015-100293,6,0.2,32,0.35,91,3/14/2015,Jacksonville,Florida,South,United States,32216,3/18/2015,Standard Class
355,Jasper Cacioppo,Consumer,1313,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Pressboard,16,CA-2015-100328,1,0.2,1,0.34,4,1/28/2015,New York City,New York,East,United States,10024,2/3/2015,Standard Class
376,Jim Mitchum,Corporate,326,Binder Clips by OIC,Office Supplies,Fasteners,OIC,17,CA-2015-100363,2,0.2,1,0.35,2,4/8/2015,Glendale,Arizona,West,United States,85301,4/15/2015,Standard Class
376,Jim Mitchum,Corporate,1568,Things To Do Today Spiral Book,Office Supplies,Paper,Things To Do,18,CA-2015-100363,3,0.2,7,0.36,19,4/8/2015,Glendale,Arizona,West,United States,85301,4/15/2015,Standard Class
71,Barry Weirich,Consumer,1523,Strathmore Photo Frame Cards,Office Supplies,Paper,Strathmore,19,CA-2015-100391,2,0,7,0.46,15,5/25/2015,New York City,New York,East,United States,10035,5/29/2015,Standard Class
447,Kunst Miller,Consumer,1306,Prang Dustless Chalk Sticks,Office Supplies,Art,Prang,20,CA-2015-100678,2,0.2,1,0.38,3,4/18/2015,Houston,Texas,Central,United States,77095,4/22/2015,Standard Class
447,Kunst Miller,Consumer,396,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,Other,21,CA-2015-100678,3,0.2,50,0.34,149,4/18/2015,Houston,Texas,Central,United States,77095,4/22/2015,Standard Class
447,Kunst Miller,Consumer,956,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,Kensington,22,CA-2015-100678,3,0.2,28,0.13,228,4/18/2015,Houston,Texas,Central,United States,77095,4/22/2015,Standard Class
447,Kunst Miller,Consumer,529,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,DMI,23,CA-2015-100678,3,0.3,-18,-0.06,317,4/18/2015,Houston,Texas,Central,United States,77095,4/22/2015,Standard Class
453,Laurel Elliston,Consumer,1595,Ultra Door Push Plate,Furniture,Furnishings,Ultra,24,CA-2015-100706,6,0,10,0.33,29,12/16/2015,Springfield,Virginia,South,United States,22153,12/18/2015,Second Class
453,Laurel Elliston,Consumer,421,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other,25,CA-2015-100706,2,0,8,0.08,100,12/16/2015,Springfield,Virginia,South,United States,22153,12/18/2015,Second Class
556,Nat Gilpin,Corporate,97,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,Adams,26,CA-2015-100762,2,0,8,0.5,16,11/24/2015,Jackson,Michigan,Central,United States,49201,11/29/2015,Standard Class
556,Nat Gilpin,Corporate,1675,Xerox 1885,Office Supplies,Paper,Xerox,27,CA-2015-100762,3,0,69,0.48,144,11/24/2015,Jackson,Michigan,Central,United States,49201,11/29/2015,Standard Class
556,Nat Gilpin,Corporate,889,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Hunt,28,CA-2015-100762,4,0,46,0.3,152,11/24/2015,Jackson,Michigan,Central,United States,49201,11/29/2015,Standard Class
556,Nat Gilpin,Corporate,532,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,Other,29,CA-2015-100762,2,0,96,0.49,197,11/24/2015,Jackson,Michigan,Central,United States,49201,11/29/2015,Standard Class
166,Cindy Stewart,Consumer,1462,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels,Smead,30,CA-2015-100860,5,0,9,0.48,19,3/26/2015,Pomona,California,West,United States,91767,3/30/2015,Second Class
274,Eugene Hildebrand,Home Office,1335,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,RCA,31,CA-2015-100867,6,0.2,20,0.06,322,10/19/2015,Lakewood,California,West,United States,90712,10/24/2015,Standard Class
195,Daniel Raglin,Home Office,163,AT&T TR1909W,Technology,Phones,AT&T,32,CA-2015-100881,3,0.2,23,0.08,302,3/28/2015,Albuquerque,New Mexico,West,United States,87105,4/1/2015,Standard Class
718,Stewart Visinsky,Consumer,1414,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Art,Sanford,33,CA-2015-100895,2,0,3,0.31,9,6/2/2015,Roswell,Georgia,South,United States,30076,6/6/2015,Standard Class
718,Stewart Visinsky,Consumer,1103,Mophie Juice Pack Helium for iPhone,Technology,Phones,Other,34,CA-2015-100895,3,0,67,0.28,240,6/2/2015,Roswell,Georgia,South,United States,30076,6/6/2015,Standard Class
718,Stewart Visinsky,Consumer,866,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,Other,35,CA-2015-100895,2,0,107,0.3,357,6/2/2015,Roswell,Georgia,South,United States,30076,6/6/2015,Standard Class
284,Frank Hawley,Corporate,1417,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Art,Sanford,36,CA-2015-100916,1,0,1,0.31,3,10/21/2015,Newport News,Virginia,South,United States,23602,10/26/2015,Standard Class
284,Frank Hawley,Corporate,557,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,Eldon,37,CA-2015-100916,5,0,10,0.05,195,10/21/2015,Newport News,Virginia,South,United States,23602,10/26/2015,Standard Class
284,Frank Hawley,Corporate,820,Hon 2111 Invitation Series Straight Table,Furniture,Tables,Hon,38,CA-2015-100916,4,0,112,0.19,591,10/21/2015,Newport News,Virginia,South,United States,23602,10/26/2015,Standard Class
223,Dennis Bolton,Home Office,1678,Xerox 1888,Office Supplies,Paper,Xerox,39,CA-2015-100972,3,0,80,0.48,166,11/19/2015,Salt Lake City,Utah,West,United States,84106,11/24/2015,Second Class
504,Matt Collins,Consumer,1502,Staple holder,Office Supplies,Appliances,Staple holder,40,CA-2015-101147,1,0.8,-6,-2.65,2,12/2/2015,Chicago,Illinois,Central,United States,60623,12/4/2015,First Class
196,Dario Medina,Corporate,53,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,Acco,41,CA-2015-101175,6,0.2,-1,-0.01,101,12/9/2015,Mesa,Arizona,West,United States,85204,12/14/2015,Standard Class
527,Michael Moore,Consumer,1689,Xerox 1898,Office Supplies,Paper,Xerox,42,CA-2015-101266,2,0,6,0.48,13,8/27/2015,Springfield,Virginia,South,United States,22153,8/30/2015,Second Class
734,Tamara Willingham,Home Office,999,Lock-Up Easel 'Spel-Binder',Office Supplies,Binders,Other,43,CA-2015-101364,13,0.2,100,0.34,297,12/22/2015,New York City,New York,East,United States,10011,12/26/2015,Standard Class
42,Ann Steele,Home Office,112,Advantus Rolling Drawer Organizers,Office Supplies,Storage,Advantus,44,CA-2015-101392,7,0,70,0.26,269,12/7/2015,Seattle,Washington,West,United States,98103,12/13/2015,Standard Class
37,Andy Yotov,Corporate,590,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Office Supplies,Art,Eldon,45,CA-2015-101427,3,0.2,1,0.14,8,12/26/2015,Philadelphia,Pennsylvania,East,United States,19140,12/30/2015,Standard Class
82,Benjamin Patterson,Consumer,727,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Furnishings,GE,46,CA-2015-101462,4,0,28,0.46,60,4/20/2015,Los Angeles,California,West,United States,90045,4/25/2015,Standard Class
698,Shirley Daniels,Home Office,605,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",Technology,Machines,Epson,47,CA-2015-101476,1,0,30,0.43,70,9/12/2015,New Rochelle,New York,East,United States,10801,9/13/2015,First Class
149,Chris Selesnick,Corporate,475,Crayola Colored Pencils,Office Supplies,Art,Crayola,48,CA-2015-101560,4,0,4,0.33,13,11/28/2015,Columbia,South Carolina,South,United States,29203,12/1/2015,Second Class
149,Chris Selesnick,Corporate,715,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,GBC,49,CA-2015-101560,3,0,22,0.49,46,11/28/2015,Columbia,South Carolina,South,United States,29203,12/1/2015,Second Class
149,Chris Selesnick,Corporate,1728,Xerox 1933,Office Supplies,Paper,Xerox,50,CA-2015-101560,7,0,40,0.47,86,11/28/2015,Columbia,South Carolina,South,United States,29203,12/1/2015,Second Class
149,Chris Selesnick,Corporate,559,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,Eldon,51,CA-2015-101560,5,0,44,0.11,398,11/28/2015,Columbia,South Carolina,South,United States,29203,12/1/2015,Second Class
539,Mick Crebagga,Consumer,147,ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,Other,52,CA-2015-101602,3,0.2,-9,-0.23,41,12/15/2015,El Paso,Texas,Central,United States,79907,12/18/2015,First Class
539,Mick Crebagga,Consumer,996,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,Other,53,CA-2015-101602,5,0.3,-22,-0.03,763,12/15/2015,El Paso,Texas,Central,United States,79907,12/18/2015,First Class
415,Karen Bern,Corporate,257,Avery Hole Reinforcements,Office Supplies,Binders,Avery,54,CA-2015-101770,1,0.7,-1,-0.7,2,3/31/2015,Miami,Florida,South,United States,33180,4/4/2015,Standard Class
283,Frank Gastineau,Home Office,1475,Southworth 100% Cotton The Best Paper,Office Supplies,Paper,Southworth,55,CA-2015-101833,3,0,17,0.5,34,11/17/2015,New York City,New York,East,United States,10024,11/22/2015,Second Class
757,Todd Sumrall,Corporate,1445,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,Supplies,Other,56,CA-2015-101931,2,0,0,0.01,6,10/28/2015,Los Angeles,California,West,United States,90049,10/31/2015,First Class
757,Todd Sumrall,Corporate,260,Avery Non-Stick Binders,Office Supplies,Binders,Avery,57,CA-2015-101931,2,0.2,2,0.31,7,10/28/2015,Los Angeles,California,West,United States,90049,10/31/2015,First Class
757,Todd Sumrall,Corporate,583,Eldon Portable Mobile Manager,Office Supplies,Storage,Eldon,58,CA-2015-101931,5,0,38,0.27,141,10/28/2015,Los Angeles,California,West,United States,90049,10/31/2015,First Class
757,Todd Sumrall,Corporate,1307,Premier Automatic Letter Opener,Office Supplies,Supplies,Other,59,CA-2015-101931,2,0,14,0.03,481,10/28/2015,Los Angeles,California,West,United States,90049,10/31/2015,First Class
757,Todd Sumrall,Corporate,1196,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,O'Sullivan,60,CA-2015-101931,6,0.15,-36,-0.06,617,10/28/2015,Los Angeles,California,West,United States,90049,10/31/2015,First Class
660,Russell Applegate,Consumer,1572,Tops Green Bar Computer Printout Paper,Office Supplies,Paper,Other,61,CA-2015-102008,1,0,24,0.5,49,9/30/2015,New York City,New York,East,United States,10011,10/4/2015,Standard Class
400,Joy Daniels,Consumer,230,Avery 519,Office Supplies,Labels,Avery,62,CA-2015-102085,4,0,14,0.47,29,10/4/2015,Seattle,Washington,West,United States,98115,10/9/2015,Standard Class
204,Dave Hallsten,Corporate,1137,Newell 322,Office Supplies,Art,Newell,63,CA-2015-102274,3,0,1,0.27,5,11/21/2015,Richmond,Kentucky,South,United States,40475,11/26/2015,Standard Class
204,Dave Hallsten,Corporate,1001,"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Phones,Logitech,64,CA-2015-102274,1,0,10,0.27,37,11/21/2015,Richmond,Kentucky,South,United States,40475,11/26/2015,Standard Class
204,Dave Hallsten,Corporate,1483,Space Solutions Commercial Steel Shelving,Office Supplies,Storage,Space Solutions,65,CA-2015-102274,3,0,10,0.05,194,11/21/2015,Richmond,Kentucky,South,United States,40475,11/26/2015,Standard Class
204,Dave Hallsten,Corporate,1111,Multicolor Computer Printout Paper,Office Supplies,Paper,Other,66,CA-2015-102274,6,0,302,0.48,629,11/21/2015,Richmond,Kentucky,South,United States,40475,11/26/2015,Standard Class
265,Erica Hackney,Consumer,758,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,Global,67,CA-2015-102295,1,0.2,-18,-0.15,121,11/24/2015,Sacramento,California,West,United States,95823,11/26/2015,Second Class
57,Arianne Irving,Consumer,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,68,CA-2015-102330,6,0,44,0.5,89,12/29/2015,Brentwood,California,West,United States,94513,1/3/2016,Standard Class
57,Arianne Irving,Consumer,884,HTC One,Technology,Phones,HTC,69,CA-2015-102330,4,0.2,36,0.11,320,12/29/2015,Brentwood,California,West,United States,94513,1/3/2016,Standard Class
336,Ionia McGrath,Consumer,1746,Xerox 195,Office Supplies,Paper,Xerox,70,CA-2015-102645,6,0,19,0.48,40,1/23/2015,Las Vegas,Nevada,West,United States,89115,1/28/2015,Standard Class
37,Andy Yotov,Corporate,1815,Xerox 211,Office Supplies,Paper,Xerox,71,CA-2015-102652,3,0,9,0.48,19,4/6/2015,Los Angeles,California,West,United States,90049,4/12/2015,Standard Class
37,Andy Yotov,Corporate,393,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,C-Line,72,CA-2015-102652,7,0,13,0.39,33,4/6/2015,Los Angeles,California,West,United States,90049,4/12/2015,Standard Class
37,Andy Yotov,Corporate,1735,Xerox 194,Office Supplies,Paper,Xerox,73,CA-2015-102652,1,0,27,0.48,55,4/6/2015,Los Angeles,California,West,United States,90049,4/12/2015,Standard Class
37,Andy Yotov,Corporate,1537,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,Tenex,74,CA-2015-102652,2,0,16,0.17,92,4/6/2015,Los Angeles,California,West,United States,90049,4/12/2015,Standard Class
441,Ken Heidel,Corporate,1507,Staples,Office Supplies,Fasteners,Other,75,CA-2015-102673,5,0.2,1,0.19,8,11/1/2015,Charlotte,North Carolina,South,United States,28205,11/5/2015,Standard Class
441,Ken Heidel,Corporate,1135,Newell 320,Office Supplies,Art,Newell,76,CA-2015-102673,3,0.2,1,0.09,10,11/1/2015,Charlotte,North Carolina,South,United States,28205,11/5/2015,Standard Class
441,Ken Heidel,Corporate,224,Avery 513,Office Supplies,Labels,Avery,77,CA-2015-102673,12,0.2,16,0.33,48,11/1/2015,Charlotte,North Carolina,South,United States,28205,11/5/2015,Standard Class
441,Ken Heidel,Corporate,435,Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,Phones,Cisco,78,CA-2015-102673,9,0.2,110,0.11,979,11/1/2015,Charlotte,North Carolina,South,United States,28205,11/5/2015,Standard Class
475,Logan Currie,Consumer,1814,Xerox 210,Office Supplies,Paper,Xerox,79,CA-2015-102869,3,0.2,5,0.35,16,9/9/2015,Philadelphia,Pennsylvania,East,United States,19140,9/14/2015,Second Class
475,Logan Currie,Consumer,1056,"Master Caster Door Stop, Large Neon Orange",Furniture,Furnishings,Master Caster,80,CA-2015-102869,3,0.2,5,0.29,17,9/9/2015,Philadelphia,Pennsylvania,East,United States,19140,9/14/2015,Second Class
475,Logan Currie,Consumer,1363,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Technology,Accessories,Other,81,CA-2015-102869,6,0.2,-5,-0.08,65,9/9/2015,Philadelphia,Pennsylvania,East,United States,19140,9/14/2015,Second Class
475,Logan Currie,Consumer,1295,Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,Polycom,82,CA-2015-102869,1,0.4,-32,-0.23,136,9/9/2015,Philadelphia,Pennsylvania,East,United States,19140,9/14/2015,Second Class
312,Greg Maxwell,Corporate,1754,Xerox 1957,Office Supplies,Paper,Xerox,83,CA-2015-102988,2,0,6,0.49,13,4/5/2015,Alexandria,Virginia,South,United States,22304,4/9/2015,Second Class
312,Greg Maxwell,Corporate,475,Crayola Colored Pencils,Office Supplies,Art,Crayola,84,CA-2015-102988,7,0,8,0.33,23,4/5/2015,Alexandria,Virginia,South,United States,22304,4/9/2015,Second Class
312,Greg Maxwell,Corporate,1136,Newell 321,Office Supplies,Art,Newell,85,CA-2015-102988,7,0,7,0.29,23,4/5/2015,Alexandria,Virginia,South,United States,22304,4/9/2015,Second Class
312,Greg Maxwell,Corporate,159,AT&T CL82213,Technology,Phones,AT&T,86,CA-2015-102988,1,0,8,0.29,29,4/5/2015,Alexandria,Virginia,South,United States,22304,4/9/2015,Second Class
312,Greg Maxwell,Corporate,1050,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,Martin-Yale,87,CA-2015-102988,5,0,83,0.02,4164,4/5/2015,Alexandria,Virginia,South,United States,22304,4/9/2015,Second Class
18,Alejandro Grove,Consumer,421,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other,88,CA-2015-103058,2,0,8,0.08,100,7/23/2015,New York City,New York,East,United States,10011,7/24/2015,First Class
277,Evan Bailliet,Consumer,678,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Furnishings,G. E.,89,CA-2015-103086,2,0.6,-2,-0.3,5,10/17/2015,Houston,Texas,Central,United States,77095,10/19/2015,Second Class
7,Adrian Barton,Consumer,195,Avery 487,Office Supplies,Labels,Avery,90,CA-2015-103100,1,0,2,0.47,4,12/20/2015,Indianapolis,Indiana,Central,United States,46203,12/23/2015,First Class
7,Adrian Barton,Consumer,898,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,Ibico,91,CA-2015-103100,3,0,497,0.45,1104,12/20/2015,Indianapolis,Indiana,Central,United States,46203,12/23/2015,First Class
785,Vivek Grady,Corporate,1377,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,SAFCO,92,CA-2015-103191,3,0.2,-83,-0.25,332,9/22/2015,Chicago,Illinois,Central,United States,60653,9/27/2015,Standard Class
81,Benjamin Farhat,Home Office,548,"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,Eldon,93,CA-2015-103219,9,0,21,0.38,57,11/9/2015,New York City,New York,East,United States,10035,11/13/2015,Standard Class
311,Greg Matthias,Consumer,1480,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper,Southworth,94,CA-2015-103310,2,0,19,0.48,40,5/10/2015,San Jose,California,West,United States,95123,5/15/2015,Standard Class
311,Greg Matthias,Consumer,75,Acme Design Stainless Steel Bent Scissors,Office Supplies,Supplies,Acme,95,CA-2015-103310,6,0,11,0.27,41,5/10/2015,San Jose,California,West,United States,95123,5/15/2015,Standard Class
311,Greg Matthias,Consumer,846,Hon Pagoda Stacking Chairs,Furniture,Chairs,Hon,96,CA-2015-103310,1,0.2,32,0.13,257,5/10/2015,San Jose,California,West,United States,95123,5/15/2015,Standard Class
311,Greg Matthias,Consumer,1629,Wilson Electronics DB Pro Signal Booster,Technology,Phones,Other,97,CA-2015-103310,5,0.2,125,0.09,1432,5/10/2015,San Jose,California,West,United States,95123,5/15/2015,Standard Class
234,Don Miller,Corporate,1641,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders,Wilson Jones,98,CA-2015-103317,5,0.7,-7,-0.7,10,7/5/2015,Palm Coast,Florida,South,United States,32137,7/8/2015,First Class
234,Don Miller,Corporate,108,Advantus Panel Wall Certificate Holder - 8.5x11,Furniture,Furnishings,Advantus,99,CA-2015-103317,2,0.2,5,0.28,20,7/5/2015,Palm Coast,Florida,South,United States,32137,7/8/2015,First Class
234,Don Miller,Corporate,1040,Luxo Adjustable Task Clamp Lamp,Furniture,Furnishings,Luxo,100,CA-2015-103317,3,0.2,16,0.08,213,7/5/2015,Palm Coast,Florida,South,United States,32137,7/8/2015,First Class
420,Karl Braun,Consumer,274,Avoid Verbal Orders Carbonless Minifold Book,Office Supplies,Paper,Other,101,CA-2015-103331,1,0,2,0.46,3,8/26/2015,Newark,Delaware,East,United States,19711,9/1/2015,Standard Class
420,Karl Braun,Consumer,91,Acrylic Self-Standing Desk Frames,Furniture,Furnishings,Other,102,CA-2015-103331,4,0,4,0.38,11,8/26/2015,Newark,Delaware,East,United States,19711,9/1/2015,Standard Class
420,Karl Braun,Consumer,1776,Xerox 1978,Office Supplies,Paper,Xerox,103,CA-2015-103331,3,0,8,0.49,17,8/26/2015,Newark,Delaware,East,United States,19711,9/1/2015,Standard Class
265,Erica Hackney,Consumer,1000,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,Logitech,104,CA-2015-103366,5,0,66,0.44,150,1/15/2015,Roswell,Georgia,South,United States,30076,1/17/2015,First Class
117,Bruce Stewart,Consumer,144,Apple iPhone 5,Technology,Phones,Apple,105,CA-2015-103373,2,0.4,-169,-0.22,780,5/18/2015,Cleveland,Ohio,East,United States,44105,5/24/2015,Standard Class
303,Georgia Rosenberg,Corporate,1815,Xerox 211,Office Supplies,Paper,Xerox,106,CA-2015-103401,2,0,6,0.48,13,11/21/2015,San Francisco,California,West,United States,94110,11/26/2015,Standard Class
454,Laurel Workman,Corporate,699,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,Binders,GBC,107,CA-2015-103429,2,0.2,9,0.35,26,5/30/2015,New York City,New York,East,United States,10024,6/1/2015,First Class
454,Laurel Workman,Corporate,1744,Xerox 1948,Office Supplies,Paper,Xerox,108,CA-2015-103429,4,0,18,0.45,40,5/30/2015,New York City,New York,East,United States,10024,6/1/2015,First Class
454,Laurel Workman,Corporate,855,Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,Honeywell,109,CA-2015-103429,3,0,78,0.33,236,5/30/2015,New York City,New York,East,United States,10024,6/1/2015,First Class
454,Laurel Workman,Corporate,733,Geemarc AmpliPOWER60,Technology,Phones,Other,110,CA-2015-103429,5,0,135,0.29,464,5/30/2015,New York City,New York,East,United States,10024,6/1/2015,First Class
180,Craig Molinari,Corporate,260,Avery Non-Stick Binders,Office Supplies,Binders,Avery,111,CA-2015-103492,1,0.8,-2,-1.75,1,10/10/2015,Huntsville,Texas,Central,United States,77340,10/15/2015,Standard Class
180,Craig Molinari,Corporate,695,GBC Personal VeloBind Strips,Office Supplies,Binders,GBC,112,CA-2015-103492,5,0.8,-19,-1.6,12,10/10/2015,Huntsville,Texas,Central,United States,77340,10/15/2015,Standard Class
180,Craig Molinari,Corporate,1105,Motorola Droid Maxx,Technology,Phones,Motorola,113,CA-2015-103492,6,0.2,72,0.1,720,10/10/2015,Huntsville,Texas,Central,United States,77340,10/15/2015,Standard Class
180,Craig Molinari,Corporate,431,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,Cisco,114,CA-2015-103492,7,0.2,66,0.09,756,10/10/2015,Huntsville,Texas,Central,United States,77340,10/15/2015,Standard Class
147,Chris Cortes,Consumer,132,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Office Supplies,Paper,Ampad,115,CA-2015-103527,3,0.2,3,0.31,11,9/9/2015,Chicago,Illinois,Central,United States,60653,9/14/2015,Second Class
366,Jeremy Lonsdale,Consumer,1252,Park Ridge Embossed Executive Business Envelopes,Office Supplies,Envelopes,Other,116,CA-2015-103590,4,0,29,0.47,62,11/30/2015,Mount Vernon,New York,East,United States,10550,12/4/2015,Standard Class
547,Mitch Webber,Consumer,1299,Polycom VVX 310 VoIP phone,Technology,Phones,Polycom,117,CA-2015-103660,7,0.2,76,0.08,1008,8/25/2015,Seattle,Washington,West,United States,98103,8/30/2015,Standard Class
59,Art Foster,Consumer,1309,"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,Premier,118,CA-2015-103702,7,0.7,-47,-0.73,64,9/12/2015,Fairfield,Ohio,East,United States,45014,9/17/2015,Standard Class
524,Michael Grace,Home Office,696,GBC Plastic Binding Combs,Office Supplies,Binders,GBC,119,CA-2015-103744,3,0.8,-7,-1.55,4,2/23/2015,El Paso,Texas,Central,United States,79907,2/27/2015,Standard Class
524,Michael Grace,Home Office,1506,Staple-on labels,Office Supplies,Labels,Staple-on labels,120,CA-2015-103744,3,0.2,2,0.34,7,2/23/2015,El Paso,Texas,Central,United States,79907,2/27/2015,Standard Class
199,Darren Powers,Consumer,1088,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper,Message Book,121,CA-2015-103800,2,0.2,6,0.34,16,1/3/2015,Houston,Texas,Central,United States,77095,1/7/2015,Standard Class
